id,grupo,ano_escolar,kanji,unicode,radical,onyomi,kunyomi,meaning_pt,jlpt,svg_path,order_in_grade,vocabulary_1,reading_1,meaning_1,vocabulary_2,reading_2,meaning_2
1,Shougakko,1,一,U+4E00,一,イチ|イツ,ひと|ひとつ,um,N5,/kanji/4E00.svg,1,一つ,ひとつ,um objeto,一人,ひとり,uma pessoa
2,Shougakko,1,二,U+4E8C,二,ニ|ジ,ふた|ふたつ,dois,N5,/kanji/4E8C.svg,2,二つ,ふたつ,dois objetos,二人,ふたり,duas pessoas
3,Shougakko,1,三,U+4E09,一,サン,みっ|みつ,três,N5,/kanji/4E09.svg,3,三つ,みっつ,três objetos,三日,みっか,terceiro dia do mês
4,Shougakko,1,日,U+65E5,日,ニチ|ジツ,ひ|-び|か,dia|sol,N5,/kanji/65E5.svg,4,一日,ついたち,primeiro dia do mês,日曜日,にちようび,domingo
5,Shougakko,1,月,U+6708,月,ゲツ|ガツ,つき,mês|lua,N5,/kanji/6708.svg,5,一ヶ月,いっかげつ,período de um mês,月曜日,げつようび,segunda-feira
